year,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990,H,26.43,63.45,67.33,92.29,74.61,73.97,59.77,69.44,16.11,90.45,58.53,13.80,22.14,102.48,80.84,16.95,9.19,4.94,44.27,54.48,73.60,7.72,67.92,26.40,82.86,,71.93,10.91,36.09,22.58,9.32,4.23,65.85,,5.20,37.86,33.38,33.05,,,,,,,,164929.23,166340.10,92429.19
1992,H,23.77,59.27,74.28,94.28,75.60,80.78,62.70,70.59,17.98,89.69,55.33,13.34,25.78,103.10,80.34,17.21,9.24,4.45,42.17,55.47,75.83,4.61,72.34,24.17,84.99,62.14,72.74,10.67,35.78,22.01,9.24,4.12,60.67,,5.97,32.33,28.15,28.05,,,,,,,,250534.61,252570.82,140528.69
1994,H,20.82,69.52,77.26,95.76,78.34,83.50,63.68,69.55,21.51,91.09,56.91,19.15,28.44,104.44,79.02,24.50,9.37,4.00,47.32,57.80,75.51,5.70,71.21,24.49,78.29,74.15,73.10,10.16,34.58,21.54,9.64,4.07,61.74,,6.31,27.12,23.30,23.23,,,,,,,,323542.21,313688.04,188320.22
1996,H,20.31,74.11,79.19,95.75,79.19,85.94,66.76,70.68,23.36,91.63,59.37,21.71,31.37,104.04,81.09,28.06,9.66,4.29,39.68,61.50,74.66,4.86,71.03,25.34,78.28,65.18,73.81,9.50,35.15,20.47,9.28,4.14,57.09,,9.17,22.91,19.75,19.61,,,,4.56,,,4.37,427233.70,431039.66,239976.11
1998,H,18.97,76.03,81.82,97.14,81.82,87.73,68.53,70.20,24.23,91.71,61.64,20.55,32.21,103.75,84.80,28.89,9.83,4.32,41.73,62.73,74.68,9.01,67.95,25.32,77.09,64.38,73.38,9.30,35.25,20.09,9.23,4.07,59.18,,9.26,21.43,17.81,17.76,,,,,,,,506502.62,510971.04,294431.41
2000,H,16.77,77.57,84.90,97.84,84.90,90.97,68.81,69.81,27.05,92.06,63.23,22.92,35.92,104.86,88.03,32.47,10.09,3.74,39.64,65.83,73.35,9.63,66.29,26.65,77.88,64.41,73.71,8.69,34.47,19.62,9.60,4.03,62.70,,11.17,19.98,16.26,16.45,22.26,9.46,19.44,4.45,40.09,57.00,5.07,561570.89,566592.55,328767.05
2003,H,14.32,76.86,87.03,98.79,87.03,93.01,69.51,68.16,29.68,93.44,68.87,26.70,37.17,106.28,93.27,39.11,10.33,3.66,34.83,67.21,73.12,8.18,67.14,26.88,78.62,64.51,73.52,7.90,32.43,19.78,10.20,3.97,69.19,,9.39,18.31,14.92,14.99,38.35,13.65,27.31,5.38,47.95,65.63,3.80,590315.47,596164.38,348727.54
2006,H,11.93,77.20,90.52,99.31,90.52,95.28,68.73,65.78,36.83,92.32,69.22,27.00,45.87,106.05,92.76,38.30,10.31,3.67,27.12,68.44,72.63,5.99,68.27,27.37,81.24,67.39,75.46,7.19,30.72,19.95,11.70,3.90,74.34,,8.87,13.09,10.07,10.16,54.08,21.60,37.45,6.57,46.04,86.19,6.47,677159.33,684341.56,346974.18
2009,H,9.60,80.21,93.09,99.56,93.09,96.87,68.00,65.00,37.18,92.99,68.17,28.13,44.58,107.40,90.49,39.10,10.54,3.30,25.24,67.73,70.74,8.89,64.45,29.26,82.79,64.89,75.71,7.07,28.98,20.26,13.56,3.73,76.55,,11.71,14.49,10.82,11.12,64.87,32.81,47.17,7.04,48.56,91.16,7.06,844011.33,862834.35,473232.77
1990,M,15.56,62.60,70.73,94.30,77.85,78.13,68.18,1.38,15.72,90.26,61.42,11.74,22.29,100.81,82.79,13.77,8.89,5.45,44.58,52.47,32.54,9.57,29.42,67.46,80.92,,79.85,9.85,32.86,22.87,10.80,3.31,68.60,39.44,4.65,39.28,32.90,36.78,,,,,,,,102745.20,103967.43,59325.00
1992,M,15.09,57.15,78.21,95.61,79.39,84.17,69.77,2.88,19.85,90.05,58.44,12.07,28.16,102.76,85.24,14.41,8.90,5.33,41.79,54.83,34.27,7.51,31.69,65.73,84.13,60.19,79.94,9.67,32.33,22.17,11.08,3.25,64.04,58.23,6.58,33.37,27.24,29.67,,,,,,,,159464.57,161057.72,93051.58
1994,M,12.82,68.48,82.52,96.83,83.52,87.69,71.74,4.41,21.92,90.67,61.13,17.03,29.36,102.46,83.67,20.50,9.05,4.75,46.49,56.82,35.50,8.54,32.47,64.50,73.63,70.07,79.62,9.05,31.47,21.32,11.69,3.19,64.87,51.43,6.72,28.13,23.50,26.67,,,,,,,,228789.56,230722.50,133794.58
1996,M,11.46,74.29,84.98,96.65,84.98,89.76,72.03,9.55,24.07,90.82,64.68,19.93,33.59,102.15,85.87,23.32,9.31,5.25,40.64,61.22,36.54,7.31,33.87,63.46,73.86,63.55,80.40,8.60,32.40,19.71,11.61,3.26,61.62,62.99,10.25,23.49,19.48,21.27,,,,4.21,,,4.24,302902.07,306520.34,166948.68
1998,M,12.99,75.00,86.11,97.91,86.11,90.26,74.62,7.18,25.30,92.79,65.62,21.14,33.02,103.33,89.09,26.06,9.55,4.81,40.49,62.52,38.80,11.32,34.41,61.20,72.52,62.49,80.67,8.01,31.47,19.75,11.46,3.27,63.98,63.14,10.14,21.88,17.58,20.24,,,,,,,,336632.58,340806.06,206013.09
2000,M,11.67,76.54,89.36,98.55,89.36,93.32,73.92,9.44,26.43,92.53,66.21,20.98,34.60,104.47,91.70,28.63,9.75,4.04,37.78,64.35,39.79,11.70,35.13,60.21,73.07,61.68,80.54,7.83,30.88,19.17,12.10,3.28,68.14,53.37,11.26,20.44,16.52,18.49,14.99,5.98,12.56,4.28,37.20,55.29,5.36,349402.71,354469.44,209150.58
2003,M,10.21,74.61,90.16,99.06,90.16,94.55,72.52,11.82,30.08,93.70,72.09,25.30,37.72,105.42,96.51,36.01,10.00,4.23,35.22,66.45,42.18,12.13,37.06,57.82,73.66,60.48,79.92,7.17,29.90,18.87,12.37,3.21,74.03,51.50,10.46,18.99,16.33,18.07,34.12,10.27,20.46,5.31,45.48,60.28,3.39,376078.79,381894.25,232732.97
2006,M,9.63,74.85,92.94,99.50,92.94,96.33,70.23,15.11,36.97,92.55,74.02,27.76,46.09,104.87,96.42,38.02,9.99,4.08,26.70,68.07,43.25,9.36,39.20,56.75,74.45,61.54,78.39,6.41,27.81,18.70,14.24,3.29,79.23,48.50,9.97,14.30,14.08,15.10,53.63,15.25,27.34,6.56,41.13,85.23,7.38,461891.54,469366.86,248467.19
2009,M,8.07,78.88,94.74,99.69,94.74,97.47,66.30,15.61,37.69,93.41,73.40,30.02,45.35,105.01,99.18,40.35,10.25,3.65,24.05,67.38,42.34,12.23,37.16,57.66,76.90,59.55,78.49,6.39,25.37,19.29,16.29,3.16,80.82,52.25,10.40,15.73,16.62,17.29,64.94,24.31,37.22,6.79,43.77,90.43,8.02,516134.37,534862.51,319571.21
