year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2000,V,M,12.60,76.39,89.92,99.35,89.92,92.64,70.57,14.21,27.64,93.51,71.28,26.15,28.05,103.62,95.32,27.20,9.99,2.90,23.25,66.31,38.43,14.03,33.04,61.57,67.86,56.3,76.7,7.4,29.6,19.1,15.3,3.3,71.4,52.6,9.4,19.3,18.0,20.3,15.1,3.9,8.5,0.7,39.5,59.0,5.1,312777,317941,174956
2003,V,M,9.24,70.44,94.17,99.63,94.17,96.27,68.58,14.74,29.40,94.58,74.16,25.67,27.64,106.21,79.18,27.00,10.24,3.03,23.11,66.83,41.69,15.74,35.12,58.31,69.23,57.5,79.9,7.1,28.5,18.4,14.5,3.1,77.0,52.3,7.5,19.2,16.0,17.6,35.6,11.4,21.4,1.2,46.3,61.4,4.2,334170,338104,189268
2006,V,M,11.12,70.06,94.98,99.89,94.98,97.31,66.84,16.56,36.32,92.71,75.92,31.86,22.34,105.43,76.98,19.25,10.08,3.54,20.31,69.11,42.81,11.63,37.83,57.19,70.56,58.7,78.3,6.6,27.7,18.6,15.5,3.2,83.9,49.1,9.1,15.9,15.2,17.2,54.0,12.5,25.0,2.1,40.6,87.2,8.2,384957,392213,207535
2009,V,M,7.24,77.47,95.08,99.92,95.08,97.69,63.73,15.70,38.87,93.46,75.95,30.30,41.50,98.95,101.67,8.02,10.49,2.23,17.68,70.53,41.88,15.57,35.36,58.12,74.23,59.8,79.7,6.0,25.6,18.2,16.9,3.0,84.4,52.8,13.2,16.2,16.8,17.5,64.9,25.0,37.8,3.2,44.4,90.4,7.7,433207,451429,244452
1990,VI,M,14.01,43.46,58.99,90.89,66.92,66.92,66.08,1.01,15.45,91.28,55.72,7.32,40.00,109.64,94.23,17.72,8.01,7.33,36.65,52.00,30.36,13.73,26.19,69.64,80.40,,82.6,9.4,33.8,22.6,10.2,3.5,73.6,40.1,5.4,42.7,40.9,44.4,,,,,,,,74994,75990,45251
1992,VI,M,13.68,50.18,70.06,95.64,70.77,79.19,67.69,1.52,16.16,92.10,57.23,10.33,36.52,101.91,90.27,29.68,8.35,7.14,37.15,50.23,32.12,6.59,30.00,67.88,89.86,63.2,84.1,10.0,31.4,22.5,10.8,3.4,71.8,62.2,5.2,30.8,25.2,28.0,,,,,,,,142875,144659,77571
1994,VI,M,17.31,49.01,66.17,95.22,67.27,74.19,71.58,4.21,21.78,91.28,60.59,9.33,34.20,106.52,92.49,29.43,8.31,6.35,64.09,55.36,31.94,9.83,28.80,68.06,64.36,73.5,79.5,9.2,34.4,21.3,10.1,3.3,70.1,49.1,5.9,33.9,27.0,31.4,,,,,,,,144454,146576,94536
1996,VI,M,13.90,45.39,71.73,93.87,71.73,78.10,77.23,5.78,18.03,91.56,58.07,15.45,36.70,110.13,92.65,27.91,8.22,7.90,36.75,57.45,31.14,9.80,28.09,68.86,71.02,64.0,82.4,9.7,33.2,18.3,12.4,3.2,70.2,63.8,14.2,26.9,27.3,28.2,,,,1.3,,,4.3,174076,177789,105162
1998,VI,M,12.77,49.45,73.03,97.13,73.03,78.40,76.72,8.63,20.76,91.49,62.46,18.86,51.26,108.06,83.62,12.70,8.60,8.05,40.94,58.99,33.58,10.65,30.00,66.42,70.55,64.9,84.8,8.7,31.7,21.3,10.9,3.3,70.3,61.6,16.6,23.0,20.3,21.9,,,,,,,,220958,226264,137808
2000,VI,M,8.97,52.01,78.45,98.99,78.45,85.23,75.19,10.07,22.70,93.60,67.15,20.94,35.21,102.64,102.06,30.57,8.79,5.94,38.68,62.44,35.42,11.14,31.48,64.58,71.77,63.7,82.0,7.3,30.5,19.4,12.9,3.4,75.6,49.3,9.8,20.9,16.1,19.3,11.1,3.0,5.8,0.9,32.5,55.3,5.8,295931,302322,154088
2003,VI,M,11.50,59.62,83.03,99.16,83.03,90.43,73.30,11.64,30.23,95.28,67.85,16.28,34.02,104.49,98.72,31.80,8.99,6.49,36.87,65.05,37.21,10.59,33.27,62.79,75.64,63.1,82.8,7.2,29.1,18.0,13.1,3.1,80.2,54.9,13.6,19.8,19.1,20.5,30.8,4.9,13.2,1.3,41.2,57.8,2.6,267677,272752,164975
2006,VI,M,8.31,60.18,87.38,99.49,87.38,93.41,72.68,13.63,34.04,92.88,74.27,26.48,31.26,103.44,88.29,23.41,9.18,5.63,34.64,66.78,38.21,9.89,34.44,61.79,76.16,66.2,82.6,6.3,27.1,18.1,14.8,3.3,81.2,49.6,11.4,12.1,11.6,12.3,54.7,8.1,16.8,1.2,35.4,81.5,6.1,371105,379597,190292
2009,VI,M,8.23,69.33,88.81,99.65,88.81,95.06,65.00,14.07,35.45,96.11,69.48,24.23,28.75,105.92,82.05,19.18,9.58,5.30,32.52,64.82,39.71,10.05,35.72,60.29,82.00,66.2,81.8,6.3,26.0,18.2,17.0,3.1,83.1,49.8,13.0,13.4,12.4,12.6,67.2,13.2,29.2,2.1,36.8,87.7,9.8,445348,465013,254893
1990,VII,M,18.49,43.88,65.72,90.92,71.11,68.91,66.93,0.31,12.28,88.53,53.38,6.91,27.52,106.47,92.42,27.75,7.71,11.32,71.10,49.72,27.62,6.51,25.82,72.38,72.71,,79.5,9.4,34.7,21.0,11.7,3.4,81.8,35.4,5.0,43.6,36.2,40.6,,,,,,,,89339,90807,50809
1992,VII,M,18.98,35.40,65.12,92.75,66.21,69.36,68.38,1.74,13.00,86.51,44.75,6.84,31.32,107.88,86.66,31.65,7.78,8.83,69.90,49.44,31.80,6.28,29.81,68.20,75.90,58.6,80.4,10.6,34.9,20.5,11.4,3.2,76.2,50.0,3.8,39.6,30.7,34.6,,,,,,,,128155,129593,72711
1994,VII,M,11.09,43.37,73.21,95.46,73.82,79.53,72.08,5.12,18.07,90.24,56.51,11.18,24.23,104.21,82.76,23.78,7.87,9.32,68.08,55.26,32.34,11.82,28.51,67.66,65.41,65.2,78.3,8.6,32.6,20.1,12.2,2.9,78.1,45.1,10.9,40.7,35.6,36.0,,,,,,,,113613,115400,87532
1996,VII,M,14.53,41.82,65.30,95.79,65.30,71.20,71.43,7.21,18.95,92.06,59.00,11.09,40.15,101.31,90.10,19.39,7.98,9.32,65.47,56.31,31.79,6.85,29.62,68.21,61.27,53.9,78.1,9.2,33.5,18.8,11.7,3.4,72.8,57.3,14.6,33.4,29.1,31.4,,,,0.6,,,6.9,178201,182656,117034
1998,VII,M,15.57,54.21,73.78,96.26,73.78,77.42,72.18,6.20,28.42,94.97,63.23,16.00,41.82,99.53,82.54,33.58,8.18,10.39,63.20,61.94,33.32,15.05,28.31,66.68,63.60,56.8,81.9,7.1,30.5,19.0,11.8,3.2,78.7,59.7,16.4,29.2,19.9,23.4,,,,,,,,230874,235160,137179
2000,VII,M,11.15,54.30,81.27,97.91,81.27,85.78,78.12,6.01,21.51,92.79,61.53,14.76,39.03,102.93,93.51,30.95,8.69,7.57,61.85,59.31,33.66,10.67,30.06,66.34,70.38,58.1,80.4,8.4,31.4,20.0,11.7,3.2,77.4,53.7,12.2,25.5,16.5,20.5,12.4,2.7,8.1,1.2,29.3,59.9,8.8,284514,290389,167123
2003,VII,M,13.22,51.77,82.57,99.28,82.57,88.58,74.27,9.44,31.27,94.92,68.44,16.83,37.06,104.90,113.69,37.43,8.80,6.94,64.70,64.76,38.01,14.51,32.49,61.99,69.74,55.9,78.1,7.2,30.6,19.0,12.5,3.1,85.1,51.4,13.3,24.1,20.2,23.5,32.4,1.8,8.7,1.6,37.4,59.5,3.6,313777,322618,180972
2006,VII,M,9.83,55.53,85.09,99.55,85.09,90.67,71.19,12.44,38.96,94.66,73.55,19.54,35.02,108.25,97.77,31.18,9.05,6.81,55.55,64.90,39.40,9.57,35.63,60.60,74.11,60.0,78.3,6.4,27.3,18.8,14.3,3.2,89.7,46.8,11.5,18.5,17.4,16.9,52.7,6.5,16.4,1.7,31.8,83.2,9.1,364425,373604,195677
2009,VII,M,7.92,64.12,92.00,99.73,92.00,95.99,68.62,12.06,44.63,94.27,76.97,27.53,38.73,101.92,110.94,27.24,9.11,7.33,42.41,68.53,36.44,11.91,32.10,63.56,74.08,58.3,83.3,6.6,26.0,17.4,16.0,3.0,89.2,51.9,8.5,22.2,21.3,24.5,65.5,10.9,26.3,1.6,30.7,85.9,9.1,389487,412257,292197
1990,VIII,M,20.86,64.48,53.20,92.31,58.40,66.79,70.40,0.27,12.47,91.42,57.95,9.57,32.79,103.44,103.54,30.86,8.24,8.43,68.22,51.81,26.36,11.38,23.36,73.64,74.82,,77.9,9.7,34.6,23.5,10.0,3.4,73.9,32.5,5.0,48.5,44.4,49.0,,,,,,,,79538,81446,48923
1992,VIII,M,19.85,58.28,67.03,91.77,67.69,77.95,73.19,3.80,15.53,91.04,52.29,9.41,36.44,107.39,97.03,37.32,8.15,8.65,67.12,53.84,28.96,11.29,25.69,71.04,75.69,57.0,80.6,9.6,33.6,22.0,10.5,3.5,73.4,48.7,8.1,45.0,37.3,40.9,,,,,,,,125157,127428,74546
1994,VIII,M,12.30,75.56,69.51,95.50,71.12,80.65,73.49,3.06,20.38,90.75,58.60,15.51,36.11,108.32,98.12,23.09,8.59,6.57,59.30,56.78,29.64,10.86,26.42,70.36,72.08,70.0,82.8,8.9,31.7,21.6,11.4,3.2,72.8,45.6,6.9,40.3,31.5,36.3,,,,,,,,169578,171929,105590
1996,VIII,M,11.96,73.79,72.90,93.40,72.90,81.27,70.64,8.38,24.60,90.37,62.62,22.00,38.42,108.69,93.49,22.19,8.91,6.87,58.51,61.85,29.82,9.22,27.07,70.18,72.01,61.4,81.5,8.4,32.8,20.4,9.9,3.2,69.7,56.0,10.9,33.9,25.3,28.2,,,,2.6,,,4.8,210840,215501,147984
1998,VIII,M,13.41,76.75,76.77,97.08,76.77,85.09,72.84,5.75,19.87,92.61,67.61,21.76,36.75,106.84,87.51,37.81,9.10,6.71,58.43,62.82,32.35,13.73,27.91,67.65,71.66,61.3,80.5,8.1,32.0,19.4,11.3,3.3,76.0,57.9,12.1,32.2,22.7,26.7,,,,,,,,253836,261080,171526
2000,VIII,M,11.34,77.52,82.94,98.96,82.94,90.25,76.35,6.68,20.06,93.83,64.74,18.44,34.35,106.14,103.61,41.10,9.29,5.98,60.28,62.43,33.24,14.95,28.28,66.76,70.02,59.3,80.6,7.5,30.1,19.0,11.8,3.2,79.5,50.6,10.7,27.5,18.2,19.6,12.4,4.6,12.7,2.9,34.1,50.0,6.0,281397,287323,160428
2003,VIII,M,10.68,70.51,84.03,98.59,84.03,92.03,74.09,14.52,30.42,94.50,68.37,25.99,36.41,106.63,92.00,25.03,9.45,6.43,54.32,64.94,34.68,13.47,30.01,65.32,71.37,57.5,79.2,7.1,30.3,18.9,12.1,3.2,82.7,49.1,11.5,28.4,22.7,26.2,30.9,4.4,14.4,2.2,37.2,59.8,3.9,284472,292550,197036
2006,VIII,M,9.97,72.84,89.83,99.38,89.83,94.82,73.46,10.72,33.54,92.79,76.17,29.17,47.27,110.06,98.68,32.80,9.62,6.13,51.34,68.25,36.39,12.84,31.71,63.61,72.20,60.6,78.4,6.1,27.1,18.3,15.4,3.2,86.3,47.6,11.4,21.5,21.0,22.8,51.2,11.9,22.5,3.9,37.9,82.6,7.9,324911,334890,204567
2009,VIII,M,8.44,77.42,92.85,99.55,92.85,96.82,68.78,17.88,37.30,92.30,72.46,34.58,42.16,111.31,96.62,33.68,9.85,5.38,45.07,70.55,37.29,14.88,31.74,62.71,74.51,58.3,80.5,5.8,25.7,19.2,15.2,3.1,87.9,52.9,13.0,21.4,20.9,22.1,64.4,18.9,32.9,3.9,40.4,87.4,9.3,402260,426779,261834
1990,X,M,16.03,71.38,50.16,82.77,51.66,71.73,66.19,0.00,9.41,87.21,49.91,8.15,39.82,103.30,96.56,41.07,7.59,8.71,71.47,47.47,26.07,7.92,24.01,73.93,86.21,,79.1,9.5,34.1,22.1,10.5,3.4,77.2,41.2,3.4,40.9,35.3,38.7,,,,,,,,89514,90901,46955
1992,X,M,16.20,71.54,64.72,88.70,65.13,77.19,72.46,1.28,13.54,87.46,46.94,8.06,53.72,106.08,101.15,21.08,7.74,8.81,63.30,50.61,29.82,6.22,27.96,70.18,77.31,55.0,75.3,9.3,32.6,21.4,11.7,3.3,60.7,60.2,6.3,36.0,32.7,35.8,,,,,,,,131759,133915,74904
1994,X,M,10.63,82.76,74.97,88.53,75.75,80.21,72.91,2.36,13.46,89.68,48.60,10.03,42.15,103.40,101.15,39.02,7.61,7.78,63.32,50.99,28.54,9.33,25.88,71.46,70.64,68.0,80.2,9.0,31.6,20.7,12.7,3.0,72.8,54.7,3.4,33.7,26.1,29.4,,,,,,,,156685,158963,113758
1996,X,M,12.59,85.49,71.16,90.99,71.16,85.39,79.51,9.46,15.99,89.42,59.02,13.46,52.19,100.18,106.69,31.63,7.84,9.37,59.05,56.42,29.21,8.96,26.60,70.79,77.32,62.3,78.8,8.4,33.5,19.8,12.8,3.5,72.5,65.0,12.0,33.0,24.0,27.7,,,,9.4,,,4.6,209709,216096,138745
1998,X,M,14.08,82.53,67.63,91.53,67.63,83.57,77.38,4.17,16.76,94.18,54.20,16.13,49.02,106.89,100.96,32.62,8.29,7.24,63.93,60.78,32.79,10.28,29.42,67.21,69.52,55.6,78.5,7.9,33.7,18.8,11.0,3.2,65.9,64.5,7.8,29.5,25.7,28.4,,,,,,,,203930,209934,161619
2000,X,M,11.95,88.37,80.23,94.47,80.23,91.24,78.40,7.90,16.49,92.04,58.36,18.56,43.96,101.32,104.06,43.03,8.47,7.36,53.50,62.82,34.59,13.19,30.03,65.41,73.04,61.2,81.3,7.6,32.1,17.7,12.1,3.2,74.2,52.9,9.0,26.4,23.4,25.8,9.9,5.7,12.0,9.3,29.2,49.2,4.4,318640,325926,186427
2003,X,M,11.00,87.33,79.53,96.63,79.53,92.30,78.71,11.32,27.02,93.27,66.69,18.10,43.26,104.07,95.54,32.77,8.86,6.13,48.10,66.39,36.14,10.67,32.28,63.86,73.13,58.2,76.7,6.9,32.2,17.3,12.7,3.2,80.5,53.2,11.6,22.6,19.8,22.5,31.4,4.7,10.5,14.3,40.3,57.1,3.9,277498,287165,200823
2006,X,M,10.20,87.31,84.05,97.72,84.05,94.92,75.80,12.23,30.25,93.86,66.24,24.25,45.56,106.40,93.53,27.95,8.95,6.40,44.23,65.97,40.78,6.51,38.13,59.22,77.18,62.3,79.7,6.2,28.4,17.9,13.9,3.2,86.7,48.8,11.7,12.4,15.2,16.3,52.8,6.5,16.5,20.2,37.3,81.6,6.3,403441,416287,215135
2009,X,M,7.66,88.17,88.89,99.54,88.89,95.72,69.87,18.38,39.22,92.85,66.80,22.33,42.25,106.44,98.52,39.68,8.93,5.88,33.32,67.17,41.61,13.33,36.06,58.39,74.81,54.5,76.1,6.3,27.0,17.2,16.2,3.0,88.7,51.7,12.5,14.6,19.5,18.7,64.3,13.5,27.1,21.1,37.4,87.0,9.2,413404,443185,251313
1990,XI,M,19.61,81.53,51.56,92.60,55.52,76.28,73.03,1.58,12.08,87.49,53.79,2.21,43.42,108.27,94.49,32.86,7.66,9.37,72.12,50.94,30.07,7.64,27.77,69.93,82.47,,86.5,11.0,37.4,21.0,8.5,3.2,72.4,46.6,5.0,34.7,35.7,36.3,,,,,,,,74767,75953,60978
1992,XI,M,13.18,80.94,58.66,90.90,60.77,74.18,76.86,1.06,14.26,89.10,59.29,3.91,36.45,109.33,88.95,30.05,7.68,7.37,62.58,50.90,29.60,4.61,28.24,70.40,85.02,66.1,80.7,12.0,36.8,22.7,8.7,3.0,58.2,62.0,5.5,32.3,38.9,40.1,,,,,,,,108603,110032,82077
1994,XI,M,16.03,83.70,67.13,89.97,67.86,79.98,84.11,1.85,18.05,86.22,60.31,5.54,47.21,105.38,92.73,26.51,8.07,6.05,67.18,56.12,38.93,12.05,34.24,61.07,73.01,67.8,76.9,9.9,36.6,21.8,6.6,3.0,56.4,51.4,6.1,31.0,30.8,29.6,,,,,,,,135336,137753,105489
1996,XI,M,18.62,89.97,77.22,96.77,77.22,84.56,64.16,13.06,21.50,90.41,56.36,9.66,51.72,104.76,122.28,54.91,8.13,8.05,65.15,59.40,37.51,6.80,34.96,62.49,79.47,64.7,80.3,11.0,37.6,20.0,7.9,3.6,57.7,67.8,10.9,23.0,23.3,22.3,,,,6.0,,,5.8,263463,269892,129095
1998,XI,M,9.10,87.91,83.17,95.88,83.17,91.18,68.20,0.00,33.83,90.49,71.89,7.38,48.67,104.46,93.71,41.11,8.20,8.35,61.91,62.49,37.95,8.37,34.77,62.05,79.46,65.5,83.7,8.7,36.1,19.1,8.3,2.8,67.8,67.5,17.1,16.1,12.5,13.4,,,,,,,,329933,337308,178531
2000,XI,M,11.65,83.57,80.19,90.70,80.19,86.67,72.61,17.17,28.11,89.81,69.39,17.38,42.81,106.68,94.60,34.14,8.71,7.43,56.52,65.36,42.10,7.77,38.83,57.90,80.48,66.3,76.5,8.8,34.6,18.7,9.5,2.9,68.7,56.4,18.5,15.1,15.1,15.3,10.5,4.8,7.7,8.4,38.6,44.6,13.5,303383,318069,200620
2003,XI,M,9.40,80.63,88.16,98.76,88.16,93.42,75.07,6.02,39.82,95.42,63.57,24.88,59.36,96.49,110.41,47.29,9.02,6.89,47.60,73.78,45.74,9.36,41.46,54.26,81.11,64.1,77.6,5.8,31.5,17.5,12.3,2.8,71.1,51.6,16.1,13.7,17.7,14.7,27.9,2.4,6.9,13.9,47.4,57.0,5.2,312484,323794,258824
2006,XI,M,7.81,85.58,95.43,99.17,95.43,97.34,70.26,27.25,40.75,91.63,73.05,20.75,54.72,103.58,104.02,29.15,9.24,3.28,47.41,67.81,44.31,3.49,42.76,55.69,83.11,63.4,70.8,9.2,32.6,18.3,12.0,3.3,82.7,48.2,20.5,9.9,7.7,8.9,56.4,6.4,20.6,12.2,41.6,87.0,9.2,399150,410074,230416
2009,XI,M,9.32,74.69,96.49,99.04,96.49,98.21,75.67,17.44,32.78,96.06,72.49,23.52,39.58,102.68,97.62,35.66,9.46,5.00,31.11,64.42,46.18,8.38,42.31,53.82,82.77,54.2,75.3,8.5,29.1,19.8,13.7,3.0,81.7,48.9,17.4,15.4,12.4,14.6,68.2,19.6,33.3,21.6,46.3,85.8,8.3,480846,504164,380679
1990,XII,M,10.66,96.29,86.47,98.72,86.68,95.14,75.75,1.14,17.17,91.73,66.03,11.18,56.85,94.61,105.83,29.03,8.63,3.42,4.91,56.55,33.88,6.83,31.57,66.12,91.52,,75.7,10.5,32.8,19.3,10.8,3.1,65.7,40.9,7.0,32.4,28.9,32.3,,,,,,,,104467,105620,64646
1992,XII,M,10.00,72.65,86.64,99.17,89.47,93.55,70.65,1.75,21.23,88.59,67.43,10.27,44.50,106.13,100.73,37.50,8.93,3.71,3.61,59.13,31.66,5.01,30.07,68.34,90.84,74.6,84.4,9.1,32.2,19.4,10.8,2.5,56.1,66.2,1.3,24.5,20.9,22.7,,,,,,,,131386,133691,100182
1994,XII,M,10.67,94.97,92.16,100.00,92.16,96.86,70.97,1.42,19.85,89.73,67.15,10.51,47.10,105.03,100.71,41.05,9.32,2.90,50.84,59.06,36.54,3.15,35.38,63.46,89.27,75.4,77.3,8.7,30.3,18.7,11.2,2.6,44.9,52.5,4.9,15.7,18.8,17.6,,,,,,,,184393,185678,127350
1996,XII,M,10.15,98.00,91.36,96.73,91.36,95.77,70.00,9.71,31.38,96.05,63.54,22.65,39.82,109.43,88.16,30.45,9.41,3.62,3.33,64.04,45.98,5.84,43.29,54.02,69.88,65.0,81.4,9.4,30.9,18.7,10.8,3.2,52.3,65.7,14.3,13.0,12.0,12.2,,,,4.0,,,2.1,283784,285829,143950
1998,XII,M,4.84,96.95,97.49,99.43,97.49,99.60,75.06,3.63,34.14,96.30,69.76,17.67,51.17,104.24,100.19,33.49,9.25,3.21,4.71,67.84,36.84,8.34,33.77,63.16,74.65,71.9,81.0,5.9,28.3,17.5,13.8,2.8,57.8,63.7,12.3,10.8,5.3,6.8,,,,,,,,254236,258303,170838
2000,XII,M,9.54,92.89,97.84,99.83,97.84,99.38,70.55,16.00,21.52,85.02,73.70,33.11,48.61,105.72,99.08,44.72,10.30,2.30,3.31,67.69,42.42,4.63,40.45,57.58,78.08,73.0,78.0,6.6,29.5,17.2,10.5,2.4,52.2,50.8,12.2,11.2,11.5,12.7,22.1,13.6,17.6,7.0,46.5,59.4,9.9,338198,340208,302942
2003,XII,M,4.80,94.49,97.28,99.40,97.28,99.83,77.74,14.13,38.25,97.36,73.06,17.23,42.09,108.68,102.31,32.22,9.84,1.19,2.50,68.61,43.42,12.08,38.18,56.58,80.16,72.0,80.9,6.3,28.7,15.6,15.3,2.8,61.4,50.2,10.6,12.4,11.7,17.4,36.7,4.5,16.3,10.9,48.8,50.1,3.4,461850,465562,230696
2006,XII,M,1.64,76.24,98.81,98.72,98.81,99.17,73.51,30.93,44.21,95.50,87.29,36.26,47.87,106.00,93.03,29.48,10.10,2.81,3.81,77.11,42.84,7.94,39.44,57.16,81.36,72.5,80.7,5.7,26.6,19.0,15.5,2.7,71.2,51.8,4.6,6.9,6.2,6.9,58.1,6.6,37.0,15.9,49.4,77.5,6.5,449239,455223,284085
2009,XII,M,2.09,87.64,97.82,99.86,97.82,98.84,76.37,30.51,36.68,98.63,84.85,18.15,37.02,110.44,99.82,27.31,9.87,2.11,3.43,58.29,47.74,14.68,40.73,52.26,85.79,62.9,83.4,8.6,24.4,19.7,14.5,2.6,77.5,54.7,7.7,9.0,9.2,11.5,74.9,22.1,38.3,23.3,55.2,88.2,11.7,448643,462658,249649
2006,XIV,M,11.40,79.45,83.10,98.47,83.10,94.68,74.46,11.69,33.15,92.24,70.29,23.34,38.32,102.94,95.82,29.79,8.85,6.50,48.92,67.72,36.21,10.78,32.31,63.79,67.98,51.8,78.7,6.5,29.0,17.0,15.8,3.3,85.4,51.8,9.4,19.6,18.1,20.8,49.6,7.3,18.1,14.7,39.1,82.6,7.8,338131,348830,193880
2009,XIV,M,10.48,79.42,87.28,98.64,87.28,96.61,73.95,8.16,39.39,94.11,74.66,28.69,43.90,104.35,99.60,45.24,9.21,6.20,45.13,66.61,34.12,15.33,28.89,65.88,75.56,61.1,80.2,6.5,27.4,19.2,15.7,2.9,88.5,54.1,8.7,21.9,24.8,26.7,58.4,13.4,23.7,15.8,35.2,88.5,8.3,312595,337798,266576
2006,XV,M,18.00,53.89,92.54,99.65,92.54,97.22,59.82,18.69,48.29,88.04,70.65,32.28,44.58,107.06,95.60,34.59,10.51,3.53,34.90,70.05,48.80,9.53,44.15,51.20,73.19,55.0,73.9,7.4,27.3,18.8,15.3,3.7,83.1,46.3,19.5,19.3,21.0,20.8,49.8,9.3,30.5,21.2,41.7,87.1,5.4,326246,334783,153881
2009,XV,M,11.42,83.61,96.40,99.92,96.40,96.79,71.87,15.81,41.94,95.31,90.27,34.04,48.12,97.67,114.42,46.51,10.87,1.75,29.18,71.03,40.10,11.25,35.59,59.90,66.98,54.3,70.0,7.0,29.0,19.6,12.7,3.9,80.4,60.8,13.3,14.5,17.8,15.1,62.8,33.0,51.7,24.0,54.1,89.4,5.2,597985,616162,297866
