year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2000,V,U,12.70,82.15,94.22,99.82,94.22,93.64,67.10,55.61,29.10,91.48,68.67,26.23,36.52,103.73,101.15,33.92,10.44,2.02,21.10,66.88,54.30,12.07,47.74,45.70,73.13,62.1,75.1,8.2,30.8,18.9,14.1,3.7,66.8,52.7,8.6,18.8,15.1,16.2,19.4,8.5,17.7,0.7,43.0,60.5,5.1,442221,446491,237814
2003,V,U,11.04,74.97,95.80,99.73,95.80,95.82,68.68,50.14,29.81,93.54,72.70,27.04,38.20,106.55,95.26,41.36,10.57,2.29,18.75,68.42,55.50,12.62,48.50,44.50,73.38,62.6,76.3,7.3,30.5,18.6,13.2,3.7,73.1,52.2,6.8,20.1,16.1,16.8,37.3,12.2,26.9,1.2,49.7,65.2,4.8,414942,419297,241722
2006,V,U,11.15,74.45,96.45,99.90,96.45,96.85,67.86,48.67,38.19,92.21,73.33,31.76,46.19,102.38,100.70,44.03,10.48,2.85,16.94,69.41,56.95,8.70,52.00,43.05,76.52,64.7,77.5,6.9,29.2,19.6,13.8,3.6,80.2,48.9,8.7,16.1,12.7,13.9,54.7,18.5,34.4,2.2,44.5,87.8,7.5,511788,517987,263229
2009,V,U,7.97,78.70,96.34,99.85,96.34,97.79,65.61,45.32,38.99,92.81,72.95,32.12,47.48,104.68,95.22,43.03,10.72,2.16,14.83,69.35,54.19,12.56,47.38,45.81,80.02,65.2,77.8,6.3,26.7,19.9,16.2,3.4,81.2,52.4,13.5,15.9,13.4,14.5,64.5,30.6,44.8,3.3,47.2,90.8,7.5,619814,637559,329274
1990,VI,U,23.94,56.67,75.51,98.40,83.67,60.56,58.97,57.84,17.28,91.37,61.51,8.04,24.09,101.73,88.40,8.97,8.90,4.94,26.37,56.71,53.95,10.30,48.39,46.05,85.79,,76.7,10.3,37.0,20.9,8.8,4.1,64.7,40.1,6.4,42.4,37.2,38.6,,,,,,,,130624,131853,72683
1992,VI,U,17.02,60.91,87.76,98.40,88.70,71.95,65.82,56.58,18.96,91.10,62.74,13.59,26.49,102.88,90.21,16.06,9.48,3.93,25.51,55.20,53.11,4.98,50.46,46.89,90.17,69.8,77.0,10.2,32.3,22.3,10.8,4.0,63.2,65.8,5.8,28.8,25.2,25.6,,,,,,,,236652,238468,124522
1994,VI,U,19.15,64.64,80.13,99.15,81.18,71.40,68.23,58.36,22.08,90.68,63.12,11.69,29.81,100.39,93.21,15.74,9.09,3.47,59.28,57.86,54.76,8.63,50.04,45.24,72.21,80.6,79.3,9.0,33.7,20.7,10.0,3.9,64.5,49.8,5.3,36.0,30.2,31.4,,,,,,,,231409,233037,130140
1996,VI,U,15.13,62.03,83.60,98.26,83.60,70.97,71.32,59.85,22.49,91.62,60.38,19.52,31.72,103.22,78.67,23.90,9.18,4.84,28.60,60.93,53.40,7.44,49.43,46.60,75.50,69.8,79.0,9.3,34.1,19.7,10.9,3.9,64.6,65.1,13.1,28.4,25.3,25.2,,,,1.6,,,4.2,312422,315457,167248
1998,VI,U,15.18,66.31,88.26,99.34,88.26,77.72,69.88,58.26,22.39,91.32,67.19,21.19,30.50,100.34,91.05,28.15,9.49,4.14,30.80,59.59,55.46,9.68,50.09,44.54,73.89,67.6,78.5,9.9,33.8,21.7,9.1,3.9,61.3,63.6,15.0,24.9,21.1,21.4,,,,,,,,395725,399368,217364
2000,VI,U,14.23,65.24,91.16,99.24,91.16,83.96,71.26,56.13,26.62,91.78,67.01,23.66,36.44,102.40,86.60,28.03,9.57,4.33,29.64,64.81,55.29,8.51,50.58,44.71,76.87,66.7,77.0,7.5,32.1,19.1,11.3,3.9,67.6,48.8,11.4,21.7,18.1,18.6,16.1,5.9,13.3,0.9,37.9,56.2,4.9,411786,416524,216040
2003,VI,U,13.36,69.20,91.74,99.47,91.74,88.30,68.93,55.51,30.48,94.42,70.36,21.04,37.57,107.90,99.60,31.84,9.90,4.27,25.74,66.94,56.85,8.15,52.22,43.15,80.89,69.9,79.7,7.7,30.5,19.5,11.3,3.6,72.9,53.7,13.3,20.0,16.2,17.1,37.5,8.3,22.3,1.3,48.1,63.1,2.6,408877,413568,234955
2006,VI,U,9.23,71.13,95.68,99.83,95.68,93.04,69.78,48.98,35.98,91.47,72.63,27.83,46.45,104.08,95.33,37.15,9.83,4.03,28.03,68.42,55.97,7.13,51.98,44.03,81.05,71.8,81.6,6.4,28.2,19.4,13.4,3.6,75.3,50.4,11.8,13.3,10.6,10.9,56.3,15.4,30.0,1.4,42.0,85.1,5.8,513307,519747,260986
2009,VI,U,8.20,76.08,94.71,99.84,94.71,95.24,69.15,49.43,36.38,94.99,64.81,29.13,41.46,112.02,83.47,37.94,10.15,4.38,26.12,66.28,56.10,8.25,51.47,43.90,83.81,69.9,79.6,6.7,26.9,19.5,15.6,3.5,77.8,47.8,14.2,15.2,12.7,13.4,68.2,23.4,39.9,2.2,43.6,89.7,9.2,630837,647381,350481
1990,VII,U,23.70,56.65,79.82,98.18,90.07,51.19,64.56,54.23,15.80,90.24,69.10,11.74,23.88,100.58,85.43,12.71,9.04,6.53,64.36,57.66,51.58,7.53,47.70,48.42,78.12,,70.5,9.4,35.8,20.2,11.4,3.9,75.9,35.4,6.3,43.8,38.3,39.0,,,,,,,,151155,152690,80466
1992,VII,U,22.98,51.16,83.86,98.87,84.45,58.73,64.99,56.22,16.71,87.46,51.63,10.50,26.10,103.72,68.90,12.74,9.00,4.96,62.64,54.38,55.32,6.51,51.72,44.68,77.31,63.3,73.0,10.1,34.7,20.2,11.3,3.9,67.9,51.3,3.7,39.3,33.0,33.8,,,,,,,,214609,216156,111117
1994,VII,U,18.28,54.64,90.00,99.39,90.96,68.90,68.46,55.94,24.10,91.83,61.04,16.62,32.78,103.88,84.82,19.85,9.00,5.64,58.81,61.05,55.48,8.33,50.86,44.52,74.85,74.1,76.0,8.5,33.0,19.9,11.4,3.7,71.0,45.0,9.3,39.2,34.6,34.1,,,,,,,,230755,232754,134645
1996,VII,U,19.52,62.42,88.71,99.35,88.71,70.32,71.33,57.90,25.28,90.80,62.57,14.63,35.25,104.45,82.43,17.70,9.11,5.63,55.78,61.32,54.07,5.93,50.86,45.93,69.76,62.2,75.6,8.9,34.5,19.2,10.8,3.9,68.6,57.9,13.8,33.2,28.4,29.1,,,,0.3,,,5.6,318120,322002,174264
1998,VII,U,20.00,66.89,91.35,99.04,91.35,71.95,73.42,56.14,29.88,94.44,68.91,19.02,36.02,104.43,93.59,24.88,9.30,5.75,54.90,64.93,56.38,10.66,50.37,43.62,71.95,64.3,77.6,8.1,32.7,19.6,10.0,3.9,70.4,61.0,17.4,29.8,25.8,25.5,,,,,,,,363436,367986,195360
2000,VII,U,15.56,65.54,94.86,99.56,94.86,80.11,71.25,56.75,28.79,93.47,65.27,22.09,36.16,106.45,91.43,29.49,9.85,4.11,53.30,65.23,55.12,9.16,50.08,44.88,75.99,64.2,75.4,8.7,32.9,20.1,10.1,3.8,70.5,53.3,11.7,26.0,21.1,21.9,19.4,5.3,11.5,1.2,37.1,62.5,7.7,461431,465924,265678
2003,VII,U,15.58,66.23,93.44,99.85,93.44,83.94,73.77,51.34,33.86,96.14,72.07,24.23,39.65,108.70,96.49,31.07,9.68,4.47,54.76,68.16,56.98,10.96,50.74,43.02,75.19,61.0,73.3,7.4,31.5,19.3,11.7,3.7,79.6,49.5,11.4,25.2,21.4,22.4,38.2,5.3,15.5,1.6,44.0,64.9,3.6,415793,422327,231195
2006,VII,U,10.64,68.46,93.82,99.72,93.82,90.06,72.10,53.45,44.26,94.71,71.68,25.85,50.55,106.84,93.16,34.71,9.87,4.65,47.36,68.51,57.09,7.55,52.78,42.91,77.58,64.6,76.9,7.4,29.6,19.8,12.4,3.6,85.2,45.9,9.0,19.7,16.6,16.6,56.8,11.9,27.9,1.6,40.3,87.4,7.9,476846,484581,243979
2009,VII,U,9.13,75.24,97.79,99.94,97.79,94.39,71.41,50.45,46.72,93.22,74.28,27.76,54.87,103.79,95.02,37.85,9.85,5.71,38.51,69.02,53.29,9.90,48.02,46.71,79.53,64.4,81.0,6.9,27.5,18.2,14.3,3.4,84.5,50.4,9.4,24.4,19.6,21.7,67.9,18.5,38.7,1.6,38.5,88.3,8.4,568140,588402,356857
1990,VIII,U,28.94,72.74,65.81,97.51,72.25,64.94,65.78,55.92,14.90,91.61,63.18,11.10,21.58,103.59,90.33,13.54,9.00,5.27,65.66,54.63,48.24,9.81,43.51,51.76,80.62,,77.7,10.1,35.2,24.0,9.0,4.2,69.7,32.8,3.6,48.6,43.5,44.4,,,,,,,,129554,131222,72488
1992,VIII,U,27.57,61.45,72.24,98.02,73.43,68.80,66.93,52.90,18.80,91.07,58.57,11.58,26.81,105.48,85.51,14.76,8.98,5.68,61.30,56.83,50.47,9.65,45.60,49.53,80.89,63.6,77.8,10.2,35.4,22.3,9.0,4.1,69.1,49.7,7.9,46.1,40.5,41.7,,,,,,,,176838,179325,100167
1994,VIII,U,20.13,79.17,78.79,99.19,79.87,74.98,67.50,53.73,21.55,91.94,62.75,19.11,29.48,106.10,88.21,25.23,9.37,4.26,54.85,59.42,51.02,8.42,46.72,48.98,78.69,77.5,79.0,9.2,32.4,22.6,9.9,4.0,67.2,45.8,6.3,40.2,34.4,35.2,,,,,,,,244349,246848,134154
1996,VIII,U,19.64,79.07,82.86,99.14,82.86,77.25,69.31,60.82,25.96,91.64,68.50,25.79,36.16,101.41,88.58,33.24,9.83,4.15,53.11,64.84,51.49,7.65,47.56,48.51,78.00,69.7,79.2,8.5,34.0,20.7,8.2,3.9,62.8,57.5,9.9,32.8,28.7,29.2,,,,1.5,,,4.4,345725,349778,198185
1998,VIII,U,17.52,84.66,87.85,99.49,87.85,82.92,72.10,58.52,24.38,92.22,66.40,23.66,33.16,103.59,94.64,32.62,9.91,4.36,54.19,64.53,51.83,13.05,45.07,48.17,78.32,68.3,79.1,8.3,32.8,20.4,9.6,4.0,69.9,59.0,11.4,30.4,25.3,26.4,,,,,,,,402759,407653,231848
2000,VIII,U,15.94,81.73,89.68,99.62,89.68,85.93,73.75,54.34,27.06,94.08,69.32,25.25,35.03,106.16,95.80,35.11,10.11,3.90,53.49,67.34,51.06,12.59,44.63,48.94,75.47,67.0,78.2,7.8,32.4,19.7,10.1,3.8,73.4,49.8,13.0,26.3,21.4,21.5,17.6,7.1,19.3,2.8,40.8,52.2,6.0,468121,473464,290178
2003,VIII,U,14.95,75.34,91.92,99.47,91.92,89.57,71.19,54.55,31.43,94.65,70.82,27.06,37.63,107.48,92.19,40.50,10.18,4.24,49.31,66.66,52.40,11.43,46.41,47.60,76.95,64.6,78.5,7.6,31.3,19.4,10.8,3.8,78.4,48.5,11.4,27.9,23.2,24.3,35.4,8.9,20.9,1.5,42.2,63.8,3.9,419556,425865,251062
2006,VIII,U,11.98,78.13,95.52,99.69,95.52,93.47,72.15,49.21,35.89,93.47,74.86,32.29,44.63,106.63,100.57,43.05,10.30,4.20,45.89,69.70,52.36,10.23,47.00,47.64,79.00,67.4,79.3,6.7,28.6,19.9,13.3,3.7,82.7,47.1,11.7,20.9,17.7,18.6,53.8,17.7,32.7,3.4,43.7,85.4,7.1,485562,493854,266385
2009,VIII,U,9.27,82.17,96.51,99.85,96.51,95.63,69.59,49.76,40.12,92.86,71.68,35.37,50.07,107.56,97.02,48.50,10.40,3.98,41.61,72.01,52.16,12.83,45.47,47.84,80.31,65.7,80.5,6.2,27.6,19.8,14.0,3.6,85.2,52.5,11.3,21.6,18.2,18.9,65.2,27.8,43.9,3.4,46.8,89.1,8.8,553798,575935,322179
1990,X,U,22.74,74.68,66.61,98.17,68.96,62.02,59.66,54.42,14.81,90.10,59.14,12.66,23.44,101.98,79.93,15.89,8.92,4.66,65.48,54.01,51.46,9.23,46.70,48.54,89.03,,74.4,10.5,35.4,22.9,9.1,4.1,71.1,41.9,3.8,46.3,40.5,41.1,,,,,,,,138486,139850,70650
1992,X,U,19.14,77.09,79.74,98.41,79.97,70.27,66.42,52.46,19.74,89.72,58.94,11.54,29.33,101.95,84.92,14.75,8.97,5.29,56.58,56.25,53.69,5.85,50.54,46.31,80.59,60.8,71.6,9.7,33.6,21.9,11.2,3.8,53.3,60.2,5.1,39.6,33.6,35.0,,,,,,,,206563,208486,111070
1994,X,U,15.54,82.63,86.76,99.26,87.17,70.95,66.45,52.62,19.49,89.92,55.48,14.11,28.09,105.02,77.32,17.41,8.70,4.98,58.80,56.79,52.42,8.27,48.09,47.58,74.88,74.8,76.0,9.1,33.1,20.4,12.1,3.7,65.9,54.3,3.3,37.0,31.0,31.7,,,,,,,,246908,249461,144682
1996,X,U,20.33,83.40,79.71,99.19,79.71,76.72,74.05,54.74,23.06,90.97,63.10,16.49,31.31,104.12,85.93,22.05,8.89,6.02,60.48,60.64,53.08,7.37,49.17,46.92,78.18,63.3,74.4,8.7,33.9,20.0,10.9,3.9,64.5,65.6,9.8,33.2,27.4,28.8,,,,6.2,,,4.9,325037,329348,181880
1998,X,U,18.44,86.36,84.12,98.98,84.12,82.40,70.15,56.84,23.00,93.59,59.72,19.82,29.57,105.34,82.22,25.14,9.41,4.67,56.45,62.48,55.00,9.82,49.60,45.00,73.39,62.3,77.0,8.9,34.6,19.3,9.3,3.9,58.1,66.7,9.6,31.4,26.2,27.3,,,,,,,,353232,358441,206720
2000,X,U,15.62,89.58,91.29,99.82,91.29,87.13,72.22,55.03,25.04,92.69,56.65,18.46,36.44,107.31,82.46,25.78,9.35,5.18,50.07,66.21,56.40,13.40,48.84,43.60,76.47,63.1,76.6,7.7,33.6,18.9,9.9,3.8,67.6,52.7,9.5,29.1,24.5,25.6,14.7,7.5,15.3,6.9,35.4,53.5,4.0,386021,391972,222357
2003,X,U,13.12,87.45,89.86,99.45,89.86,89.54,72.33,55.78,34.94,93.22,70.01,22.78,45.08,106.07,96.89,33.11,9.84,4.18,45.20,69.23,56.32,9.66,50.88,43.68,77.79,63.9,73.2,7.5,33.7,18.3,10.1,3.8,73.9,52.6,11.6,23.8,20.4,21.1,37.7,9.7,21.6,10.6,47.7,64.2,3.9,456218,463158,264200
2006,X,U,10.77,86.81,95.34,99.48,95.34,91.95,72.94,49.89,37.83,93.15,68.32,26.00,47.89,106.23,92.55,35.24,9.77,4.17,39.76,68.61,59.72,5.88,56.21,40.28,79.95,64.4,75.3,6.3,29.8,20.3,11.3,3.6,81.7,48.4,11.5,14.3,11.4,12.6,56.5,12.7,29.6,17.3,45.0,86.2,5.4,555350,564840,260406
2009,X,U,10.09,89.26,97.02,99.91,97.02,95.16,69.07,47.45,45.05,92.34,68.24,22.89,54.53,105.43,97.96,30.76,9.65,4.34,31.75,68.64,57.17,11.89,50.37,42.83,76.51,60.0,77.5,6.6,28.7,19.1,13.4,3.4,83.3,51.0,16.5,17.7,15.4,15.6,65.1,23.3,38.7,17.6,45.8,87.6,8.0,560996,587926,297497
1990,XI,U,29.25,82.25,65.25,99.25,73.50,71.44,63.50,55.75,15.38,91.45,56.13,2.92,23.08,104.61,73.55,2.92,8.09,7.32,71.46,58.11,51.71,7.35,47.91,48.29,88.65,,74.4,10.9,41.6,18.0,7.4,4.0,73.9,46.2,6.3,39.8,34.5,34.4,,,,,,,,135304,136816,85216
1992,XI,U,18.68,83.95,79.74,99.21,80.53,67.50,63.16,56.84,16.92,88.03,63.11,4.66,25.64,103.42,97.54,4.66,8.76,3.94,59.19,56.32,57.74,5.43,54.60,42.26,86.70,70.7,77.2,11.4,38.0,22.0,7.4,3.8,54.4,61.7,7.7,31.7,27.4,28.2,,,,,,,,215279,217374,131855
1994,XI,U,23.49,85.06,82.49,98.81,82.72,81.26,67.47,57.12,16.07,86.45,65.25,4.16,27.44,98.79,95.41,5.54,8.75,3.79,67.14,55.87,60.35,9.24,54.78,39.65,79.27,77.6,74.3,11.8,38.8,21.6,5.7,3.9,52.0,50.3,8.0,32.7,28.6,27.9,,,,,,,,262277,264413,145323
1996,XI,U,22.76,90.71,85.77,99.57,85.77,87.42,61.22,59.83,21.46,90.39,55.54,10.93,27.38,101.12,94.18,13.03,8.67,5.39,64.16,58.39,59.26,4.74,56.45,40.74,85.11,70.0,77.2,11.0,37.0,20.9,7.0,4.0,55.9,65.8,8.8,25.1,22.0,21.7,,,,5.3,,,6.0,368548,373105,181863
1998,XI,U,19.69,93.06,88.93,99.79,88.93,87.19,65.70,61.02,32.35,90.71,74.08,6.47,42.14,98.92,101.69,6.74,8.90,5.90,55.71,65.34,58.95,5.07,55.96,41.05,82.32,67.7,77.4,8.7,38.3,17.8,6.8,3.8,61.6,67.2,13.8,16.9,14.5,14.2,,,,,,,,582500,588235,328082
2000,XI,U,16.28,91.68,89.31,98.53,89.31,90.63,68.18,60.69,32.54,90.45,74.33,17.56,42.55,99.68,96.89,20.92,9.45,4.20,56.51,67.79,61.29,5.84,57.71,38.71,82.60,74.9,79.3,8.7,36.1,18.6,8.3,3.7,60.8,54.9,15.1,15.5,13.7,13.8,14.2,6.0,17.1,7.1,44.2,48.4,11.4,491520,499904,275910
2003,XI,U,14.72,83.83,96.31,99.91,96.31,93.44,68.94,55.96,43.30,93.36,58.41,24.05,55.35,108.52,87.17,35.17,9.54,4.90,45.19,72.90,62.39,8.21,57.26,37.61,84.39,67.0,73.4,6.1,33.1,17.8,10.7,3.6,66.3,51.5,17.8,14.9,12.8,12.4,30.5,9.2,24.5,12.7,51.9,56.9,4.9,577696,585834,328280
2006,XI,U,11.52,86.55,97.83,99.83,97.83,95.31,68.67,55.34,46.19,93.43,71.00,22.41,51.86,108.03,94.65,29.14,9.72,3.07,44.07,69.73,60.75,3.00,58.93,39.25,84.42,67.7,71.8,8.6,32.6,21.0,9.8,3.6,77.9,48.0,17.4,9.5,6.8,7.2,58.6,10.1,29.4,12.1,45.6,87.4,8.7,566313,575159,294007
2009,XI,U,11.86,79.52,98.44,99.88,98.44,96.35,74.08,55.85,44.03,95.82,67.55,22.54,47.72,115.90,90.98,26.35,9.65,3.99,32.13,68.06,61.30,7.73,56.56,38.70,83.71,54.9,71.8,8.7,31.2,19.6,11.2,3.5,79.1,47.9,16.1,16.3,13.0,13.6,69.7,27.8,44.2,22.5,50.1,88.4,9.2,769090,788777,426574
1990,XII,U,14.54,95.10,92.81,99.62,93.93,94.04,71.13,58.09,18.10,91.20,64.54,9.98,25.93,102.69,87.93,10.98,8.99,2.90,4.71,58.28,53.87,8.40,49.35,46.13,91.87,,73.4,10.4,34.3,18.6,10.3,3.7,63.1,41.5,8.7,30.5,24.8,26.2,,,,,,,,162152,163917,86290
1992,XII,U,16.31,75.16,93.12,100.00,94.90,94.54,65.08,60.62,18.95,91.45,70.58,12.86,28.57,102.19,95.42,15.43,9.22,2.85,2.78,61.97,52.19,3.91,50.15,47.81,94.12,74.4,77.6,8.5,33.7,18.6,9.9,3.7,55.1,66.2,2.0,24.9,21.2,21.9,,,,,,,,240926,242512,139106
1994,XII,U,10.11,95.82,96.73,100.00,96.73,98.31,68.89,63.28,23.78,89.99,72.56,19.28,32.77,97.15,107.93,23.14,9.70,2.12,54.25,62.62,54.78,3.29,52.98,45.22,87.82,78.3,75.5,7.5,30.1,19.3,11.1,3.6,41.2,52.4,3.3,14.4,13.3,12.7,,,,,,,,306030,307097,170885
1996,XII,U,14.55,98.08,92.82,98.40,92.82,95.19,63.06,56.63,36.85,94.03,59.60,19.95,45.51,104.30,88.48,28.94,9.55,3.47,2.64,68.22,61.97,4.89,58.94,38.03,78.90,71.9,76.8,8.3,33.6,17.9,8.9,3.7,47.9,65.9,13.7,13.9,11.9,11.7,,,,4.0,,,2.6,426990,429936,223552
1998,XII,U,11.12,97.49,97.43,99.93,97.43,96.87,74.09,56.19,29.31,90.75,64.47,17.39,38.47,105.54,89.84,21.11,9.54,2.53,3.26,63.17,54.62,6.20,51.23,45.38,77.58,75.0,78.4,8.3,30.3,18.0,13.0,3.4,56.0,63.7,11.1,12.2,9.1,9.5,,,,,,,,490614,493975,257003
2000,XII,U,9.71,94.51,99.09,100.00,99.09,98.52,69.88,58.36,28.73,87.93,76.12,29.24,47.11,96.99,88.16,33.42,10.55,1.64,4.51,68.22,57.12,5.50,53.98,42.88,84.08,76.4,77.2,6.5,31.2,18.0,9.5,3.4,50.0,50.6,15.0,11.3,8.6,8.8,26.5,15.2,29.9,6.3,50.3,59.3,8.5,731173,734008,392135
2003,XII,U,7.05,92.62,98.99,99.91,98.99,98.49,76.61,56.00,41.96,95.67,77.58,24.10,47.93,106.89,97.99,42.78,10.24,1.14,2.20,69.65,58.77,6.71,54.83,41.23,80.93,72.9,76.5,6.3,28.0,17.0,13.7,3.3,55.4,50.1,12.0,12.5,8.7,10.6,38.6,13.4,35.3,10.5,52.0,54.1,3.4,573462,576276,327833
2006,XII,U,4.41,80.83,98.99,99.18,98.99,97.88,70.84,54.49,46.56,95.04,80.20,35.01,54.35,106.20,111.01,53.98,10.32,2.70,3.53,74.46,57.75,4.81,54.97,42.25,83.61,71.6,78.3,6.4,26.6,19.3,14.7,3.3,65.1,52.1,6.7,6.4,5.8,5.8,58.7,14.6,47.8,15.5,52.2,77.5,6.2,670075,674627,330008
2009,XII,U,10.52,87.29,99.90,99.86,99.90,98.18,73.44,54.74,43.69,93.34,77.72,21.70,49.76,104.55,95.74,35.01,10.23,2.04,2.81,66.39,61.61,8.38,56.45,38.39,86.62,63.9,77.4,8.4,27.4,17.9,13.3,3.3,75.2,55.0,11.1,8.9,7.7,8.4,72.8,34.5,53.5,23.0,56.5,89.7,10.4,755556,767837,419925
2006,XIV,U,11.05,83.75,94.61,99.65,94.61,92.55,69.10,51.69,40.02,91.54,72.73,27.26,50.72,107.89,92.60,44.34,9.75,4.16,45.85,70.25,55.25,8.95,50.30,44.75,74.37,57.8,73.4,6.6,30.0,18.2,13.5,3.6,78.9,50.3,9.0,21.3,17.8,19.0,52.4,15.2,31.6,10.8,46.2,85.7,8.0,482244,490649,249211
2009,XIV,U,9.80,82.42,95.04,99.06,95.04,95.90,72.35,46.98,40.48,93.96,62.42,31.26,47.35,114.82,80.16,38.95,10.02,4.13,44.34,69.73,50.91,12.03,44.79,49.09,80.42,64.0,75.6,7.2,30.3,19.4,12.5,3.4,84.6,54.0,9.5,21.2,17.3,20.0,60.9,26.0,41.9,10.1,43.7,90.3,8.4,500935,524474,328746
2006,XV,U,17.46,68.31,94.24,99.41,94.24,92.16,61.90,39.42,46.66,90.89,78.28,34.05,60.10,98.53,97.72,49.54,10.67,1.89,38.09,72.85,57.06,9.23,51.79,42.94,76.69,58.1,70.5,6.3,30.8,17.9,13.5,3.9,79.2,46.3,14.7,19.4,16.5,17.3,46.3,14.2,34.6,19.3,45.0,89.9,5.4,561144,568953,205860
2009,XV,U,9.90,86.14,99.95,99.99,99.95,92.22,69.79,44.67,42.63,93.77,85.14,34.79,46.66,98.59,112.69,47.05,11.30,0.90,29.80,69.40,53.25,9.81,48.03,46.75,78.77,67.6,75.8,7.8,29.5,20.9,11.8,4.0,76.6,60.9,14.8,13.1,11.5,11.3,65.1,40.9,58.5,22.3,59.6,90.3,4.5,723866,739840,376266
