month,sexo,solicitudes_de_prestaciones_por_cesantia_efectivamente_pagadas,afiliados_que_recibieron_pago_de_la_prestacion_por_cesantia
2002-10,H,0,0
2002-11,H,0,0
2002-12,H,0,0
2003-01,H,0,0
2003-02,H,0,0
2003-03,H,0,0
2003-04,H,0,0
2003-05,H,132,132
2003-06,H,4812,4812
2003-07,H,6976,6976
2003-08,H,8728,8728
2003-09,H,11278,11278
2003-10,H,13927,13927
2003-11,H,12745,12745
2003-12,H,15930,15930
2004-01,H,19682,19724
2004-02,H,19663,19663
2004-03,H,19740,19838
2004-04,H,25854,26121
2004-05,H,28661,29026
2004-06,H,34115,34605
2004-07,H,29269,29987
2004-08,H,30108,31266
2004-09,H,34333,36067
2004-10,H,27229,28040
2004-11,H,24156,26744
2004-12,H,32350,35328
2005-01,H,33012,36414
2005-02,H,32443,35936
2005-03,H,29850,33779
2005-04,H,39256,41652
2005-05,H,43417,48593
2005-06,H,50147,55169
2005-07,H,39579,43284
2005-08,H,37339,43572
2005-09,H,44452,51017
2005-10,H,41011,48791
2005-11,H,38795,46382
2005-12,H,43430,51637
2006-01,H,43025,51324
2006-02,H,45425,53768
2006-03,H,41804,51263
2006-04,H,48087,55648
2006-05,H,52143,63760
2006-06,H,60912,72767
2006-07,H,50711,63827
2006-08,H,50474,63673
2006-09,H,50802,60705
2006-10,H,51565,65276
2006-11,H,49102,62950
2006-12,H,49732,60598
2007-01,H,52244,67294
2007-02,H,57616,73333
2007-03,H,48637,67751
2007-04,H,54310,73563
2007-05,H,51762,71119
2007-06,H,73608,88607
2007-07,H,47607,68354
2007-08,H,37609,56316
2007-09,H,37699,50165
2007-10,H,53336,67665
2007-11,H,45741,61560
2007-12,H,45903,62824
2008-01,H,44432,61017
2008-02,H,57328,72646
2008-03,H,45267,62480
2008-04,H,52953,70072
2008-05,H,57201,77082
2008-06,H,68304,91076
2008-07,H,56526,80085
2008-08,H,55393,73414
2008-09,H,54728,79918
2008-10,H,53862,77449
2008-11,H,52240,70370
2008-12,H,56798,82386
2009-01,H,59921,86406
2009-02,H,67641,89515
2009-03,H,59844,92430
2009-04,H,71547,103180
2009-05,H,72940,100608
2009-06,H,78359,118183
2009-07,H,63615,112874
2009-08,H,62045,110087
2009-09,H,57699,105731
2009-10,H,53686,101428
2009-11,H,48843,94983
2009-12,H,48289,87787
2010-01,H,50436,72579
2010-02,H,54279,91346
2010-03,H,46729,82087
2010-04,H,56282,85616
2010-05,H,57814,95794
2010-06,H,37268,67668
2010-07,H,49695,90138
2010-08,H,57750,105499
2010-09,H,55808,97102
2010-10,H,51877,76737
2010-11,H,53846,92904
2010-12,H,50320,84046
2011-01,H,52262,85404
2011-02,H,57124,89369
2011-03,H,52071,86246
2011-04,H,59963,84315
2011-05,H,60758,99192
2011-06,H,67849,105184
2011-07,H,56565,84028
2011-08,H,58385,96506
2011-09,H,56636,91836
2011-10,H,52749,78566
2011-11,H,55627,91280
2002-10,M,0,0
2002-11,M,0,0
2002-12,M,0,0
2003-01,M,0,0
2003-02,M,0,0
2003-03,M,0,0
2003-04,M,0,0
2003-05,M,62,62
2003-06,M,3392,3392
2003-07,M,3833,3833
2003-08,M,3842,3842
2003-09,M,4929,4929
2003-10,M,4119,4119
2003-11,M,2367,2367
2003-12,M,3154,3154
2004-01,M,12811,12843
2004-02,M,9061,9061
2004-03,M,6564,6639
2004-04,M,7993,8175
2004-05,M,11555,11803
2004-06,M,13450,13774
2004-07,M,10868,11306
2004-08,M,9238,9920
2004-09,M,10513,11502
2004-10,M,6939,7157
2004-11,M,6284,7580
2004-12,M,7826,9362
2005-01,M,18957,20529
2005-02,M,14810,16545
2005-03,M,10009,11968
2005-04,M,13255,14220
2005-05,M,17600,20109
2005-06,M,20971,23517
2005-07,M,14507,15839
2005-08,M,12901,15991
2005-09,M,14422,17653
2005-10,M,11227,14716
2005-11,M,9758,13149
2005-12,M,9559,13371
2006-01,M,23394,27245
2006-02,M,20100,24073
2006-03,M,15418,19952
2006-04,M,17301,20612
2006-05,M,21251,27316
2006-06,M,23458,29838
2006-07,M,17486,24195
2006-08,M,17323,24040
2006-09,M,16423,20313
2006-10,M,16115,23040
2006-11,M,14376,21148
2006-12,M,11708,15938
2007-01,M,29116,36584
2007-02,M,26932,34730
2007-03,M,21503,30964
2007-04,M,21729,31932
2007-05,M,21687,32303
2007-06,M,29016,36029
2007-07,M,19976,30545
2007-08,M,17171,26826
2007-09,M,15144,20957
2007-10,M,19896,28037
2007-11,M,14723,23132
2007-12,M,13848,22631
2008-01,M,24681,33908
2008-02,M,32683,41444
2008-03,M,18156,28505
2008-04,M,24742,35426
2008-05,M,23941,36829
2008-06,M,30216,43553
2008-07,M,23595,36813
2008-08,M,22874,31978
2008-09,M,22667,36295
2008-10,M,23449,36238
2008-11,M,16365,24914
2008-12,M,17329,30940
2009-01,M,30952,44397
2009-02,M,35012,44978
2009-03,M,24566,41443
2009-04,M,33177,50144
2009-05,M,31150,45522
2009-06,M,38317,59188
2009-07,M,24479,48787
2009-08,M,24282,47436
2009-09,M,22231,45848
2009-10,M,21370,45291
2009-11,M,18442,42005
2009-12,M,20168,42190
2010-01,M,23245,33040
2010-02,M,28507,50069
2010-03,M,21164,42761
2010-04,M,30554,47874
2010-05,M,26624,52982
2010-06,M,20819,41711
2010-07,M,21944,48337
2010-08,M,28450,59325
2010-09,M,23673,49674
2010-10,M,19474,31111
2010-11,M,25254,47859
2010-12,M,19827,39650
2011-01,M,28863,48247
2011-02,M,34127,55138
2011-03,M,27535,49686
2011-04,M,31430,45024
2011-05,M,30907,56409
2011-06,M,34032,57483
2011-07,M,23153,37844
2011-08,M,27888,50953
2011-09,M,24787,45414
2011-10,M,20979,34175
2011-11,M,26275,47039
2002-10,NA,,
2002-11,NA,,
2002-12,NA,,
2003-01,NA,,
2003-02,NA,,
2003-03,NA,,
2003-04,NA,,
2003-05,NA,,
2003-06,NA,,
2003-07,NA,,
2003-08,NA,,
2003-09,NA,,
2003-10,NA,,
2003-11,NA,,
2003-12,NA,,
2004-01,NA,,
2004-02,NA,,
2004-03,NA,,
2004-04,NA,,
2004-05,NA,,
2004-06,NA,,
2004-07,NA,,
2004-08,NA,,
2004-09,NA,,
2004-10,NA,,
2004-11,NA,,
2004-12,NA,,
2005-01,NA,,
2005-02,NA,,
2005-03,NA,,
2005-04,NA,,
2005-05,NA,,
2005-06,NA,,
2005-07,NA,,
2005-08,NA,,
2005-09,NA,,
2005-10,NA,,
2005-11,NA,,
2005-12,NA,,
2006-01,NA,,
2006-02,NA,,
2006-03,NA,,
2006-04,NA,,
2006-05,NA,,
2006-06,NA,,
2006-07,NA,,
2006-08,NA,,
2006-09,NA,,
2006-10,NA,,
2006-11,NA,,
2006-12,NA,,
2007-01,NA,,
2007-02,NA,,
2007-03,NA,,
2007-04,NA,,
2007-05,NA,,
2007-06,NA,,
2007-07,NA,,
2007-08,NA,,
2007-09,NA,,
2007-10,NA,,
2007-11,NA,,
2007-12,NA,,
2008-01,NA,,
2008-02,NA,,
2008-03,NA,,
2008-04,NA,,
2008-05,NA,,
2008-06,NA,,
2008-07,NA,,
2008-08,NA,,
2008-09,NA,,
2008-10,NA,,
2008-11,NA,,
2008-12,NA,,
2009-01,NA,,
2009-02,NA,,
2009-03,NA,,
2009-04,NA,,
2009-05,NA,,
2009-06,NA,,
2009-07,NA,,
2009-08,NA,,
2009-09,NA,,
2009-10,NA,,
2009-11,NA,,
2009-12,NA,,
2010-01,NA,,
2010-02,NA,,
2010-03,NA,,
2010-04,NA,,
2010-05,NA,,
2010-06,NA,,
2010-07,NA,,
2010-08,NA,,
2010-09,NA,,
2010-10,NA,,
2010-11,NA,,
2010-12,NA,,
2011-01,NA,,
2011-02,NA,,
2011-03,NA,,
2011-04,NA,,
2011-05,NA,,
2011-06,NA,,
2011-07,NA,,
2011-08,NA,,
2011-09,NA,,
2011-10,NA,,
